Code,Name,Costing Method,Sales account,Don't delete
037600115445,SPAM 25% LESS SODIUM 340G,FIFO,Sales Select,5200200
037600240345,SPAMLESSSODIUM340G,FIFO,Sales Select,5200200
038000138416,PRINGLES ORIGINAL 147G,FIFO,Sales Select,5200200
038000138430,PRINGLES SOUR CREAM 158G,FIFO,Sales Select,5200200
038000138577,PRINGLES CHEDDAR CHEESE 158G,FIFO,Sales Select,5200200
039000086639,LIBBY'S VIENNA SAUSAGE 142G,FIFO,Sales Select,5200200
040000001058,SNICKERS ALMOND BAR,FIFO,Sales Select,5200200
041393010054,WHIZ SUPER OIL TREATMENT 443ML,FIFO,Sales Shoc+,5200300
04801981116072,COKE REGULAR 1.5 L,FIFO,Sales Select,5200200
0494,Honey Lemon Aloe-(L),FIFO,Sales Chatime,5200500
0648436100545,PALDO HT&SPCY NDL65G,FIFO,Sales Select,5200200
0706121001086,ARMORALL ORIGINAL PROTECTANT 295ML,FIFO,Sales Shoc+,5200300
0706620963144,NISSIN BOWL NOODLES CHICKEN 94.6G,FIFO,Sales Select,5200200
070847016205,MONSTER ENERGY ULTRA BLUE 473ML,FIFO,Sales Select,5200200
070847017554,MONSTER ENERGY ULTRA RED 473ML,FIFO,Sales Select,5200200
0724171615756,CADBURY DAIRY MILK F,FIFO,Sales Select,5200200
074660509388,TURTLE WAX SPRAY & WIPE GLASS CLEANER 236ML,FIFO,Sales Shoc+,5200300
074660509401,TURTLE WAX SPRAY & WIPE INTERIOR DETAILER 236ML,FIFO,Sales Shoc+,5200300
0748485100401,CENTURY TUNA FLAKES IN OIL 155G,FIFO,Sales Select,5200200
0748485100418,CENTURY TUNA FLAKES HOT & SPICY 155G,FIFO,Sales Select,5200200
0748485100432,CENTURY TUNA AFRITADA 155G,FIFO,Sales Select,5200200
0748485200668,555 FRIED SARDINES HOT&SPICY 155G,FIFO,Sales Select,5200200
0748485700014,555 TUNA ADOBO 155G,FIFO,Sales Select,5200200
0748485700021,555 TUNA AFRITADA 155G,FIFO,Sales Select,5200200
0748485800097,ARGENTINA BEEF LOAF 170G,FIFO,Sales Select,5200200
0748485800738,ARGENTINA BEEF LOAF,FIFO,Sales Select,5200200
0748485801803,ARGENTINA CORNED BEEF 100G,FIFO,Sales Select,5200200
074923405235,PIK-NIK 50% LESS SALT ORIGINAL 227G,FIFO,Sales Select,5200200
074923413087,PIK-NIK CHEDDAR CHEESE 255G,FIFO,Sales Select,5200200
0750515017405,FITA BISCUIT 80G,FIFO,Sales Select,5200200
0750515017429,FITASINGLES30G,FIFO,Sales Select,5200200
0750515017498,FITA 1PC,FIFO,Sales Select,5200200
0750515018402,SKYFLAKES CRACKERS 25G,FIFO,Sales Select,5200200
075069154957,PREM LUNCHEON MEAT HOT & SPICY,FIFO,Sales Select,5200200
075069350120,PREM LUNCHEON MEAT 340G,FIFO,Sales Select,5200200
075069350137,PREM 50% LESS FAT LUNCHEON MEAT 340G,FIFO,Sales Select,5200200
075069350908,PREM LUNCHEON MEAT 30% LESS SODIUM 340G,FIFO,Sales Select,5200200
076171101051,LITTLE TREES VANILLAROMA 1PC,FIFO,Sales Shoc+,5200300
